average_gas_used,average_value_sent,days_active,days_since_last_transactions,from,transaction_count,unique_address,value_sent,wallet_age_days,cluster,agg_cluster_labels,dbscan_cluster,mb_kmeans_cluster,churn_risk,user_tier,engagement_diversity
105860.55223880573,0.0063513499162753,30,0,0x78bdcbf24fc307c6f59bc74c0aec4754fef9edd1,201,15,1.2766213331713423,4,0.0,0,1,1,Low Risk,Casual,Low Diversity
145896.0597014923,1.2239636788818606,28,0,0x44f72fc438e7dbef19e6619881e0d1766c3c833e,201,12,246.016699455254,4,0.0,0,1,1,Low Risk,Regular,Low Diversity
151490.41293532326,0.8403817372619545,29,0,0xe1939ca83232c397a439813ae8dd9aab3a3373b9,201,25,168.91672918965287,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
176400.51243781106,4.270026069651742,23,0,0x6116765ec880374dbb2649015e2f261c177d8b27,201,23,858.27524,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
236590.57213930332,0.0,19,11,0x06200ad943b3ea37c2f0bef4029b050e8e59791a,201,1,0.0,4,4.0,1,1,3,High Risk,Casual,Single Game
164500.07960199,0.15136437823959,30,0,0xdc448d92f6694e10c97c8b1623f69ab52fcdbb81,201,27,30.42424002615759,4,0.0,0,1,1,Low Risk,Casual,Moderate Diversity
264473.5721393036,0.0064485715849993,29,0,0x287f043013b421a62ec8fbea93ac02d3722799d8,201,13,1.296162888584878,4,1.0,0,1,1,Low Risk,Casual,Low Diversity
193734.5350000001,23.88711904824397,30,0,0x485be1721e9c5ebb66f03bb3f6996a0369b36061,200,20,4777.423809648795,4,1.0,0,1,1,Low Risk,Power User,Moderate Diversity
259604.38500000013,0.3177284370398599,27,0,0xb2acecccfa1bf6a99c7cd0673e8fb126d9cadda1,200,12,63.54568740797199,4,1.0,0,1,1,Low Risk,Casual,Low Diversity
75841.02000000015,0.0,24,0,0x89143b283c4302e8cfa1b3089c8a12e9b848f671,200,2,0.0,4,0.0,0,1,1,Low Risk,Casual,Single Game
70553.55499999993,26.05572423606337,12,7,0xbda8a17f226f42fe232ad0f29b84edf7d181881a,200,9,5211.144847212673,6,0.0,1,1,4,Medium Risk,Whale,Low Diversity
277262.6199999998,12.843438959934844,29,0,0xc301bf39b780ac5b2b97eefdafa1a8e8c1f3eab9,200,26,2568.687791986969,4,0.0,0,1,1,Low Risk,Power User,Moderate Diversity
190068.71500000005,0.0084784851150478,30,0,0x404c868b2cc0cc84b3c7867d3696ee69b9520efc,200,17,1.6956970230095767,3,0.0,0,1,1,Low Risk,Casual,Moderate Diversity
245954.81,0.002252168391819,30,0,0x8060848b7241685fed01334293b49b2ad03c573a,200,19,0.4504336783638188,4,1.0,0,1,1,Low Risk,Casual,Moderate Diversity
172494.24999999994,12.79476037056831,19,0,0x7795952ef403588c169b3aa0c0f0a078d4f4ab0c,200,22,2558.952074113662,4,0.0,0,1,1,Low Risk,Power User,Moderate Diversity
207647.30500000005,0.9034247377720238,30,0,0x5910e5a62d6b3699b3b6653b9cef7b7cf7888a5b,200,18,180.6849475544048,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
195984.51499999978,0.610445637592522,30,0,0xe69149f95677be42fbe1f0fae7572df9831cca59,200,22,122.0891275185044,4,1.0,0,1,1,Low Risk,Regular,Moderate Diversity
80090.35499999994,4.505,13,13,0xd315906eedb56b9c729d488b69290fc506c0b498,200,11,901.0,5,0.0,1,1,3,High Risk,Regular,Low Diversity
195145.8949999999,0.0,25,1,0x5f5c25da08a214e2e587c1eb7c7648b5e99e5aca,200,11,0.0,5,0.0,0,1,1,Low Risk,Casual,Low Diversity
198505.515,0.0108930382711693,30,0,0x7d5c9c7c7117c43d797558369073ce4955ebe271,200,22,2.178607654233872,4,0.0,0,1,1,Low Risk,Casual,Moderate Diversity
198970.38499999972,5.098057078132733,28,0,0xb5d657385ef924f65132c3d6380418eff09f10b8,200,19,1019.6114156265464,6,0.0,0,1,1,Low Risk,Power User,Moderate Diversity
21000.000000000007,0.1199576687541303,1,2,0x50d2502b786ef198a0011434b06d51b99bb37319,200,200,23.991533750826065,31,0.0,4,3,0,Low Risk,Casual,High Diversity
543853.1750000007,1.6430000000000156,21,0,0x477feb618449e3088dc0e365d911d309522496d3,200,7,328.6000000000031,4,0.0,0,1,1,Low Risk,Regular,Low Diversity
187883.51499999987,2.328726137720503,30,0,0x47a5ff873d727dee5c59b0ccc77e68c8a035a103,200,30,465.7452275441006,4,1.0,0,1,1,Low Risk,Regular,Moderate Diversity
189658.48000000016,2.249063768336583,20,2,0x5337d34b982ca16fa03116b117dffe659fd1ee34,200,21,449.8127536673165,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
267087.42,4.578863140728958,22,0,0xd8736643c79d690d497184eb55e2f03e0bb8a6e1,200,40,915.7726281457916,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
168879.90499999997,2.443155592394766,30,0,0xf0768c07fd5e539ec0902292d00bc9b3eee25b56,200,16,488.6311184789532,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
237592.7000000002,2.285665287933324,30,0,0x0f47357b4859fbd2125273982dcc8798815b71e3,200,22,457.13305758666473,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
21000.000000000007,5.100000000000016,1,0,0x03b5e9d4f61eabc86c320dca06d66e4e295c0265,200,200,1020.0000000000032,2,0.0,4,-1,0,Low Risk,Power User,High Diversity
192220.33999999997,0.1260758167423382,30,0,0xd55e007405f55fe2577263a63042496a6112f1a6,200,20,25.21516334846765,4,0.0,0,1,1,Low Risk,Casual,Moderate Diversity
23587.8190954774,0.1260881061114953,4,0,0xa407a3f9dc23c5f28d07f65930d23dd74eaeaaf0,199,196,25.09153311618758,30,0.0,4,3,0,Low Risk,Casual,High Diversity
91135.3316582916,22.963387825490912,13,7,0xc928061676457d03b115f6dae09e315ed55b2f33,199,9,4569.714177272692,5,0.0,1,1,4,Medium Risk,Power User,Low Diversity
368344.5778894472,14.472745470009304,30,0,0x073ab4447ec4723dbd7e2d0d6c0930f9f0ac3be1,199,15,2880.076348531852,4,0.0,0,1,1,Low Risk,Power User,Low Diversity
302382.6231155775,1.30303106874264,30,0,0x9145ae27929ae68b964dd82b401870a3bb3ffd37,199,17,259.3031826797854,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
157279.52763819086,0.107452106033478,30,0,0xabcbd41774d30fc945db31ce3af7c4ccc994a919,199,16,21.38296910066213,4,0.0,0,1,1,Low Risk,Casual,Moderate Diversity
103502.1959798995,0.8156674937063623,27,0,0x6c6993b392aec59385e8915cb2048e60646e937e,199,13,162.3178312475661,5,1.0,0,1,1,Low Risk,Regular,Low Diversity
74811.3216080403,0.0,24,0,0x901c98d97cf92c29477f0a6a782150f2ca12207b,199,2,0.0,4,0.0,0,1,1,Low Risk,Casual,Single Game
73424.91959798991,0.0040201005025125,30,0,0x7920ff664fc3ce81064b8ec2f9224c2abcf89230,199,14,0.8,4,0.0,0,1,1,Low Risk,Casual,Low Diversity
248278.4974874371,4.842255599031675,30,0,0xd122f2adf6c65da0fb6408dd204710f030eba021,199,41,963.6088642073032,4,1.0,0,1,1,Low Risk,Regular,Moderate Diversity
90460.33165829157,8.341708542713567,13,3,0xda6b9a01a08259d5c4a271bef3cf690cdd4044b5,199,5,1660.0,6,0.0,1,1,4,Low Risk,Power User,Single Game
170872.37688442197,128.5535509700976,30,0,0xa61f9fc6b23b5ed3dd7975261a66aca5e8ca2f6e,199,31,25582.15664304942,4,0.0,2,-1,2,Low Risk,Whale,Moderate Diversity
127096.66331658304,2.428765303015075,30,0,0xcdf2040d0c1b4ff7220af15695f4294fa8564c61,199,21,483.3242953,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
134047.17587939696,0.0815468621307401,28,0,0xf5658680daece6cc89389b34b21ff9db0fa10344,199,21,16.227825564017287,4,0.0,0,1,1,Low Risk,Casual,Moderate Diversity
209228.4673366835,0.0228867208330742,30,0,0x1ff8cd343c24f49c8fc3f01cc731afe8f3d21ac9,199,15,4.554457445781769,4,0.0,0,1,1,Low Risk,Casual,Low Diversity
225305.5728643216,44.59189447236181,28,0,0xe66ea2c8490b24818e623c060e30c3549ca6610c,199,14,8873.787,4,0.0,2,2,2,Low Risk,Whale,Low Diversity
