average_gas_used,average_value_sent,days_active,days_since_last_transactions,from,transaction_count,unique_address,value_sent,wallet_age_days
5.575401624225562e-14,0.0181968341362699,25,0,0x93e637e34e1b4bc0ce64270d492434434d3ef904,7265,523,132.2000000000008,4
6.541143519727406e-13,0.0,31,0,0x5d41b21e544a6d84bc18d7554c5ab0fcecdf681b,7046,1,0.0,4
6.597862505393408e-14,0.9783856564314143,21,0,0xfaeb2b2da37cb24bb82b124fc80ed5f6fbc0a514,6953,456,6802.715469167623,4
8.015839857392442e-14,0.000274939990438431,28,1,0xf9e052209adb704d5c32e5e5b5935d6c75647dbe,6872,5,1.8893876142928978,4
1.501827531393094e-13,369.1770989427461,31,0,0xd9c4c14dc2775b6f625df587e4c341e6f14f8d8e,6769,12,2498959.7827434484,4
3.223232862583197e-14,0.004989575515288146,23,6,0x7506463ca23eec1c968f1928adb471e4037c57cd,6302,475,31.444304897345894,5
3.4983396474357575e-14,0.012784097145693889,17,0,0x79ebd06718088e3b8de6aab46053083768d5dfea,6240,304,79.77276618912987,4
3.6813558993853134e-13,0.0019777464232470588,31,0,0x7584a1471fadd4687b82966fb98a1a5fd27862ff,6182,2,12.226428388513318,4
3.5898383597541293e-13,0.0019668917011989237,31,0,0xf71f94ea056a3ec521ff031311d4fab523f438b3,6182,2,12.159324496811745,4
3.59981560983502e-13,0.0019228437303681033,31,0,0xcad3f59d0fa4da05e15202b4d69884453180dde6,6182,2,11.887019941135614,4
3.6025545778065423e-13,0.0019785830188302433,31,0,0xcc6351fdfdc242c80010e16cd1cc228251a57a72,6182,2,12.231600222408565,4
3.6335424668392213e-13,0.0019717758063637443,31,0,0x21ccf40ea65cc5342ec3eefdc4897bc958f4685c,6182,2,12.189518034940667,4
3.618160863798151e-13,0.001964210191945382,31,0,0x222a572019f4ff30e2764ba4e2aa9d6c621f2947,6182,2,12.14274740660635,4
3.648826127466866e-13,0.0019743312968514607,31,0,0x9d3a399a14cc23e4b46a859ed46d1903acf0ddf1,6182,2,12.20531607713573,4
3.673338914590751e-13,0.002008018997565673,31,0,0x582a8b23299bbb7bb39150a5ba3f9d6e1709892e,6182,2,12.413573442950991,4
3.5894564671627373e-13,0.0019356821362012569,31,0,0xf6fa1ac1a21fbe6ee57d1b893e4d488850cfa9ce,6182,2,11.96638696599617,4
3.620865479695849e-13,0.0019762854043538524,31,0,0x55bc597854e55a63ded32b4a1be8e0f0c892de96,6181,2,12.215420084311162,4
3.6568808509950004e-13,0.002010488244834062,31,0,0xb6ee488b3dcab9a0321027ccf66379929db3b5dc,6181,2,12.426827841319335,4
3.5694911972172846e-13,0.0019121686958998227,31,0,0x06cef7413526b3023c0b2a6c4e4caa3612e9ac16,6181,2,11.819114709356803,4
3.582639826888855e-13,0.001954173946246773,31,0,0x6fcd850283d67d90c6b1612051a9c810e50eab7c,6181,2,12.078749161751302,4
3.623278954861686e-13,0.001955275564411589,31,0,0x2e85c64834761a01ea918b4c0c498ee65ff44cf1,6181,2,12.085558263628032,4
3.6197854602815235e-13,0.0019788414459634886,31,0,0xfa639db06fff8cca8488b0673d4947ae5f4ec517,6181,2,12.231218977500323,4
3.5954488044005865e-13,0.0019344474607863524,31,0,0xfc60261b8dceb5703631468f6466d9333c08c10c,6181,2,11.956819755120444,4
3.629001392978502e-13,0.0019875045424887472,31,0,0x0899728643db374900bf7742f89d78924a51498b,6181,2,12.284765577122947,4
3.6788645080906163e-13,0.002003358928602623,31,0,0xe3c96fad02b92194debbb7b94bc20c31e1773d94,6180,3,12.380758178764209,4
3.621826870550163e-13,0.0020364680872044694,31,0,0xd2c682a486b47820a4d59358cd5db044a3e5eff7,6180,2,12.58537277892362,4
3.599426763754054e-13,0.001959507129794239,31,0,0xde0d6157a4d36ea56a0a7ea5b47fa439085d84da,6180,2,12.109754062128395,4
3.5891833446601864e-13,0.0023343045614041564,31,0,0xd8d15de420cf5d9427430a7700314942958108a5,6180,2,14.426002189477687,4
3.626900831715218e-13,0.001973634616734397,31,0,0xa101bb0aed50165b1f0d2d2b9348f13a3d69e46d,6180,2,12.197061931418574,4
3.638329889967654e-13,0.001983108759477689,31,0,0x40b93fd3087bbd8a6929e723d92a5fb9a133120a,6180,2,12.255612133572118,4
3.607152533980583e-13,0.001991359267934984,31,0,0xa03742f2f5b3acb7c0fe3874cc2b669797af513b,6180,2,12.3066002758382,4
3.580226389967638e-13,0.0019339387458561135,31,0,0x8659b5c9b7f770c2ed52ac1ccab3e9a4a6c97510,6180,2,11.95174144939078,4
3.5847569870550394e-13,0.0019503962359090881,31,0,0xeef72b050607f6587619d198c4e24685aa5a8b6b,6180,2,12.053448737918165,4
3.5988021893204073e-13,0.0019295335210896966,31,0,0x643e175a860f8c190cccb976ddd5d39cc4308cd6,6180,2,11.924517160334325,4
3.620402019417498e-13,0.00195591209541114,31,0,0x4b9c54876f28d1d879974ea39cb6b85f406d885a,6180,2,12.087536749640847,4
3.634173749190965e-13,0.0019551948201305008,31,0,0x0435a94ff779caff6a9e074242a2ae4aeab90ba2,6180,2,12.083103988406496,4
3.6309660792880233e-13,0.001960698442753314,31,0,0x3514ff100b62279cf2a8f23f1b26a9b61fe605c3,6180,2,12.117116376215481,4
3.6049470177993566e-13,0.001932817656575732,31,0,0xbf2528435dd1dbeab037c2f6a80cff880d7e8af5,6180,2,11.944813117638024,4
3.5763353381877085e-13,0.0019418075543161078,31,0,0x66cc7de2ef3632ee01559121a8fe4082ce0c131b,6180,2,12.000370685673547,4
3.5629946634304225e-13,0.001941124618783135,31,0,0xe6e0e4b4d5bc17e2e7c0a1a8aeebb828093e6648,6180,2,11.996150144079774,4
3.605052728155351e-13,0.001965198980311094,31,0,0x62733e856163a8b95b637eca317319ed58e63906,6180,2,12.14492969832256,4
3.6445966278317173e-13,0.001989991995052169,31,0,0x79a42a4aab4b9884ad4ed4fa4fdf384942ad140d,6180,2,12.298150529422406,4
3.630396673139165e-13,0.0019713198791594362,31,0,0x3eb57d9b6fbbcf1441120cc05ed850164dbe92c0,6180,2,12.182756853205316,4
3.630679720064756e-13,0.0019641520307915553,31,0,0x399838695cacf5bb5f3affac9f77a234596f2f37,6180,2,12.138459550291813,4
3.590091597087394e-13,0.0019501551661456468,31,0,0x12f5a57b801c5260786ae1e3913d1deda3327dca,6180,2,12.051958926780097,4
3.575209778317166e-13,0.0019261813376990826,31,0,0xff522650d5bb9bbcb7647c8f9c60028072cd6701,6180,2,11.903800666980331,4
3.596589367211532e-13,0.0019411224391053447,31,0,0x718e657fc95cb11aa89e5456b243a2ad0bd4320f,6179,2,11.994195551231925,4
3.619310938663223e-13,0.001982207935032131,31,0,0xe5abe32e39fbb4c99f214004a2f1ebe67b84f74e,6179,2,12.248062830563537,4
3.608035533257811e-13,0.0019638045979878792,31,0,0x0809425b9e6ee02a581004b589d778284d5b8b73,6179,2,12.134348610967105,4
3.595352076387788e-13,0.0019827156989391144,31,0,0x4b2d1069bdc7cf3b365a7a37094d6b649283f87f,6179,2,12.251200303744788,4
3.6709116394238687e-13,0.0019976122822683417,31,0,0x59d7458a65e24e93c9e6067575079ec331ff6f20,6179,2,12.343246292136083,4
3.6063367405729097e-13,0.0019918740577776397,31,0,0x439baf514fdc1638721b5676e52e30231e7172dd,6179,2,12.307789803008037,4
3.6224413885742e-13,0.0019597769082702427,31,0,0x0b39718cf1b1129a98679ff6285adb68cbf6556a,6179,2,12.109461516201831,4
3.609388379734566e-13,0.0019485262697364514,31,0,0xf320bd9db29bbfc1f820769f964d5b29ba75dafa,6178,2,12.037995294431797,4
3.604416060213684e-13,0.001998121228011392,31,0,0x8c9268c62b1333e0ac266d61b32c0f72458d099c,6178,2,12.34439294665438,4
3.653342837487857e-13,0.001973219617722493,31,0,0x3d57e6b5d176078c3d47f89277464cfe414fd9b4,6178,2,12.19055079828956,4
3.619291576561989e-13,0.0019706889879541304,31,0,0x74d05068b479132e2aa457b26e56d40ea2e16079,6178,2,12.174916567580617,4
3.630786105535782e-13,0.001966685533850614,31,0,0x57fcc0b059ed783a418450930d32bb263a826720,6178,2,12.150183228129093,4
3.6558612593072207e-13,0.0019866666483120653,31,0,0x83a26b90b9717ea3092fd5aca49c1bdcf1e0d52d,6178,2,12.273626553271939,4
3.6186935480738084e-13,0.0019643536641486712,31,0,0x4ae1e0d70b4a9e8d88793ea908c56800e9d00f11,6178,2,12.135776937110492,4
3.5795673891226903e-13,0.0019569811423969215,31,0,0xa32594f432e597fafee07de36aa84fa6908b1142,6178,2,12.090229497728181,4
3.6306772126901986e-13,0.0019518151466537841,31,0,0x0f480848cdf7bc4a14bb6902357bafaa7f7d00fa,6178,2,12.058313976027078,4
3.6395164584007863e-13,0.0019914290533004034,31,0,0x895c4093e3b20007fe95eac8b489e5666a2342e6,6178,2,12.303048691289892,4
3.6419063159598667e-13,0.002029875328343414,31,0,0x4a7fa0c7315b33a0660fd839f6d7e0c80dfa475f,6178,2,12.540569778505612,4
3.5853820621560423e-13,0.0019402205016780978,31,0,0x76da8caafbf5df89964406cd58471ce7bc8dc8e0,6178,2,11.986682259367289,4
3.5751777614114635e-13,0.001958540637244411,31,0,0x68843299e0d1eb92c1aa2c5a41593b8896a01eea,6178,2,12.09986405689597,4
3.6154772385885624e-13,0.0019251988152943936,31,0,0x36ffc1137f8548e7468042eb45e9a7ad31561e2c,6178,2,11.893878280888764,4
3.605092269342848e-13,0.001965323943418105,31,0,0xefdc33da3b967c4b32e2574ae867eed823bb406c,6178,2,12.141771322437053,4
